test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,2,4,3,GF(16),xor,2.4318695068359375e-05,8,12,5,5,True,0,0,"[0, 3, 7, 1]"
logn_loglogn,2,4,3,GF(16),xor,0.1663219928741455,9,910,5,5,True,0,0,"[0, 3, 7, 1]"
baseline_plain,2,4,3,GF(16),xor,8.821487426757812e-06,9,18,4,4,True,1,0,"[7, 0, 7, 4]"
logn_loglogn,2,4,3,GF(16),xor,0.009140968322753906,9,910,4,4,True,1,0,"[7, 0, 7, 4]"
baseline_plain,2,4,3,GF(16),xor,7.152557373046875e-06,9,15,1,1,True,2,0,"[0, 6, 0, 7]"
logn_loglogn,2,4,3,GF(16),xor,0.010481834411621094,9,910,1,1,True,2,0,"[0, 6, 0, 7]"
baseline_plain,2,4,3,GF(16),xor,7.3909759521484375e-06,7,8,3,3,True,3,0,"[1, 1, 5, 6]"
logn_loglogn,2,4,3,GF(16),xor,0.010391473770141602,9,910,3,3,True,3,0,"[1, 1, 5, 6]"
baseline_plain,2,4,3,GF(16),xor,7.867813110351562e-06,7,14,5,5,True,4,0,"[5, 1, 0, 1]"
logn_loglogn,2,4,3,GF(16),xor,0.009559392929077148,9,910,5,5,True,4,0,"[5, 1, 0, 1]"
baseline_plain,2,4,3,GF(16),xor,7.3909759521484375e-06,11,17,5,5,True,5,0,"[3, 5, 1, 2]"
logn_loglogn,2,4,3,GF(16),xor,0.009315729141235352,9,910,5,5,True,5,0,"[3, 5, 1, 2]"
baseline_plain,2,4,3,GF(16),xor,7.152557373046875e-06,10,19,5,5,True,6,0,"[1, 4, 5, 5]"
logn_loglogn,2,4,3,GF(16),xor,0.009373664855957031,9,910,5,5,True,6,0,"[1, 4, 5, 5]"
baseline_plain,2,4,3,GF(16),xor,6.4373016357421875e-06,10,16,7,7,True,7,0,"[0, 6, 3, 2]"
logn_loglogn,2,4,3,GF(16),xor,0.010242938995361328,9,910,7,7,True,7,0,"[0, 6, 3, 2]"
baseline_plain,2,4,3,GF(16),xor,6.67572021484375e-06,13,19,0,0,True,8,0,"[2, 6, 7, 3]"
logn_loglogn,2,4,3,GF(16),xor,0.009108781814575195,9,910,0,0,True,8,0,"[2, 6, 7, 3]"
baseline_plain,2,4,3,GF(16),xor,6.9141387939453125e-06,9,14,5,5,True,9,0,"[6, 7, 7, 3]"
logn_loglogn,2,4,3,GF(16),xor,0.009286642074584961,9,910,5,5,True,9,0,"[6, 7, 7, 3]"
baseline_plain,3,8,3,GF(16),xor,1.0251998901367188e-05,16,42,7,7,True,0,0,"[3, 5, 2, 4, 7, 3, 7, 4]"
logn_loglogn,3,8,3,GF(16),xor,0.5623760223388672,9,54610,7,7,True,0,0,"[3, 5, 2, 4, 7, 3, 7, 4]"
baseline_plain,3,8,3,GF(16),xor,1.1444091796875e-05,16,26,4,4,True,1,0,"[6, 7, 5, 1, 4, 3, 1, 7]"
logn_loglogn,3,8,3,GF(16),xor,0.5538334846496582,9,54610,4,4,True,1,0,"[6, 7, 5, 1, 4, 3, 1, 7]"
