test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,2,4,2,GF(32),xor,1.9311904907226562e-05,4,12,3,3,True,0,0,"[0, 3, 3, 3]"
logn_loglogn,2,4,2,GF(32),xor,0.18053483963012695,6,1247,3,3,True,0,0,"[0, 3, 3, 3]"
baseline_plain,2,4,2,GF(32),xor,8.344650268554688e-06,5,9,3,3,True,1,0,"[2, 1, 0, 0]"
logn_loglogn,2,4,2,GF(32),xor,0.013408660888671875,6,1247,3,3,True,1,0,"[2, 1, 0, 0]"
baseline_plain,2,4,2,GF(32),xor,7.152557373046875e-06,4,10,0,0,True,2,0,"[2, 0, 0, 2]"
logn_loglogn,2,4,2,GF(32),xor,0.013170480728149414,6,1247,0,0,True,2,0,"[2, 0, 0, 2]"
baseline_plain,2,4,2,GF(32),xor,6.9141387939453125e-06,5,9,3,3,True,3,0,"[2, 1, 0, 0]"
logn_loglogn,2,4,2,GF(32),xor,0.013049840927124023,6,1247,3,3,True,3,0,"[2, 1, 0, 0]"
baseline_plain,2,4,2,GF(32),xor,7.152557373046875e-06,2,5,0,0,True,4,0,"[0, 1, 0, 1]"
logn_loglogn,2,4,2,GF(32),xor,0.0135040283203125,6,1247,0,0,True,4,0,"[0, 1, 0, 1]"
baseline_plain,2,4,2,GF(32),xor,7.152557373046875e-06,7,11,0,0,True,5,0,"[2, 1, 3, 0]"
logn_loglogn,2,4,2,GF(32),xor,0.013573169708251953,6,1247,0,0,True,5,0,"[2, 1, 3, 0]"
baseline_plain,2,4,2,GF(32),xor,6.9141387939453125e-06,4,12,2,2,True,6,0,"[0, 2, 2, 2]"
logn_loglogn,2,4,2,GF(32),xor,0.013525009155273438,6,1247,2,2,True,6,0,"[0, 2, 2, 2]"
baseline_plain,2,4,2,GF(32),xor,7.3909759521484375e-06,4,8,1,1,True,7,0,"[1, 0, 2, 2]"
logn_loglogn,2,4,2,GF(32),xor,0.01341557502746582,6,1247,1,1,True,7,0,"[1, 0, 2, 2]"
