depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,result,expected,correct,trial_tree,trial_run,leaf_values
2,4,2,GF(32),xor,0.18404245376586914,12.0,3,3,True,0,0,"[2, 1, 2, 2]"
2,4,2,GF(32),xor,0.012682437896728516,12.0,2,2,True,1,0,"[2, 2, 0, 2]"
2,4,2,GF(32),xor,0.01443338394165039,12.0,3,3,True,2,0,"[1, 1, 2, 1]"
2,4,2,GF(32),xor,0.013928890228271484,12.0,1,1,True,3,0,"[3, 1, 2, 1]"
2,4,2,GF(32),xor,0.013422250747680664,12.0,0,0,True,4,0,"[0, 1, 1, 0]"
2,4,2,GF(32),xor,0.015527725219726562,12.0,1,1,True,5,0,"[1, 2, 1, 3]"
2,4,2,GF(32),xor,0.014022111892700195,12.0,0,0,True,6,0,"[0, 1, 1, 0]"
2,4,2,GF(32),xor,0.013293027877807617,12.0,0,0,True,7,0,"[2, 0, 3, 1]"
2,4,2,GF(32),xor,0.016193151473999023,12.0,3,3,True,8,0,"[1, 0, 2, 0]"
2,4,2,GF(32),xor,0.014957666397094727,12.0,2,2,True,9,0,"[0, 2, 0, 0]"
3,8,2,GF(32),xor,1.7026801109313965,12.0,0,0,True,0,0,"[3, 3, 2, 1, 3, 2, 1, 3]"
3,8,2,GF(32),xor,1.6397786140441895,12.0,0,0,True,1,0,"[0, 0, 1, 3, 0, 1, 3, 0]"
3,8,2,GF(32),xor,1.6580133438110352,12.0,1,1,True,2,0,"[2, 1, 0, 0, 3, 0, 1, 0]"
3,8,2,GF(32),xor,1.6486937999725342,12.0,1,1,True,3,0,"[3, 0, 3, 3, 3, 0, 3, 2]"
3,8,2,GF(32),xor,1.739842176437378,12.0,2,2,True,4,0,"[1, 1, 1, 0, 3, 2, 3, 1]"
3,8,2,GF(32),xor,1.7354869842529297,12.0,3,3,True,5,0,"[3, 3, 0, 3, 1, 3, 1, 3]"
3,8,2,GF(32),xor,1.653571605682373,12.0,2,2,True,6,0,"[0, 1, 1, 0, 3, 1, 2, 2]"
3,8,2,GF(32),xor,1.6437132358551025,12.0,2,2,True,7,0,"[2, 1, 1, 3, 0, 1, 1, 3]"
3,8,2,GF(32),xor,1.6463532447814941,12.0,1,1,True,8,0,"[3, 1, 1, 0, 3, 2, 0, 3]"
3,8,2,GF(32),xor,1.7860333919525146,12.0,2,2,True,9,0,"[3, 3, 2, 2, 2, 1, 3, 2]"
4,16,2,GF(32),xor,221.7871377468109,12.0,1,1,True,0,0,"[3, 3, 2, 0, 2, 0, 0, 0, 2, 1, 3, 0, 1, 0, 1, 1]"
4,16,2,GF(32),xor,208.86906743049622,12.0,3,3,True,1,0,"[0, 2, 3, 1, 3, 1, 3, 2, 0, 0, 1, 3, 2, 3, 1, 2]"
4,16,2,GF(32),xor,206.96348333358765,12.0,2,2,True,2,0,"[1, 0, 2, 0, 0, 0, 1, 3, 0, 1, 3, 0, 2, 1, 1, 3]"
4,16,2,GF(32),xor,207.57417178153992,12.0,0,0,True,3,0,"[1, 2, 2, 1, 0, 3, 1, 3, 3, 0, 3, 2, 0, 3, 0, 0]"
4,16,2,GF(32),xor,209.07442235946655,12.0,2,2,True,4,0,"[0, 3, 0, 2, 3, 1, 2, 1, 3, 2, 1, 1, 1, 0, 0, 2]"
4,16,2,GF(32),xor,211.29198789596558,12.0,1,1,True,5,0,"[0, 2, 1, 1, 2, 0, 1, 1, 0, 3, 2, 3, 0, 0, 3, 0]"
4,16,2,GF(32),xor,211.2735071182251,12.0,0,0,True,6,0,"[1, 1, 1, 0, 1, 3, 3, 2, 3, 1, 1, 0, 3, 0, 0, 2]"
4,16,2,GF(32),xor,215.0264093875885,12.0,0,0,True,7,0,"[2, 1, 3, 3, 1, 0, 3, 1, 0, 3, 2, 1, 1, 0, 0, 1]"
4,16,2,GF(32),xor,215.36560726165771,12.0,2,2,True,8,0,"[2, 3, 1, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 3, 1]"
4,16,2,GF(32),xor,212.3199336528778,12.0,1,1,True,9,0,"[0, 3, 0, 0, 2, 1, 1, 3, 3, 1, 0, 0, 2, 0, 3, 0]"
2,4,2,GF(32),and,0.014967679977416992,12.0,0,0,True,0,0,"[1, 1, 0, 2]"
2,4,2,GF(32),and,0.014879941940307617,12.0,0,0,True,1,0,"[1, 0, 0, 1]"
2,4,2,GF(32),and,0.01495981216430664,12.0,0,0,True,2,0,"[3, 2, 2, 0]"
2,4,2,GF(32),and,0.015097856521606445,12.0,0,0,True,3,0,"[1, 2, 2, 0]"
2,4,2,GF(32),and,0.013955831527709961,12.0,0,0,True,4,0,"[3, 0, 1, 1]"
2,4,2,GF(32),and,0.01461648941040039,12.0,0,0,True,5,0,"[3, 2, 0, 0]"
2,4,2,GF(32),and,0.016623497009277344,12.0,0,0,True,6,0,"[1, 2, 2, 3]"
2,4,2,GF(32),and,0.017583847045898438,12.0,0,0,True,7,0,"[0, 1, 0, 2]"
2,4,2,GF(32),and,0.01323699951171875,12.0,0,0,True,8,0,"[2, 1, 2, 2]"
2,4,2,GF(32),and,0.013421773910522461,12.0,0,0,True,9,0,"[2, 0, 2, 3]"
3,8,2,GF(32),and,1.7396104335784912,12.0,0,0,True,0,0,"[0, 3, 3, 0, 3, 3, 1, 1]"
3,8,2,GF(32),and,1.692063331604004,12.0,0,0,True,1,0,"[2, 0, 2, 0, 3, 3, 2, 0]"
3,8,2,GF(32),and,1.686126947402954,12.0,0,0,True,2,0,"[0, 3, 3, 2, 3, 2, 3, 2]"
3,8,2,GF(32),and,1.5800855159759521,12.0,0,0,True,3,0,"[2, 3, 3, 1, 2, 3, 1, 1]"
3,8,2,GF(32),and,1.5827546119689941,12.0,0,0,True,4,0,"[1, 0, 1, 1, 1, 3, 1, 1]"
3,8,2,GF(32),and,1.575119972229004,12.0,0,0,True,5,0,"[3, 3, 3, 0, 0, 1, 2, 2]"
3,8,2,GF(32),and,1.6909756660461426,12.0,0,0,True,6,0,"[2, 2, 3, 1, 3, 1, 3, 3]"
3,8,2,GF(32),and,1.8395507335662842,12.0,0,0,True,7,0,"[0, 2, 1, 3, 3, 1, 1, 2]"
3,8,2,GF(32),and,1.7468557357788086,12.0,0,0,True,8,0,"[2, 1, 2, 3, 1, 3, 2, 0]"
3,8,2,GF(32),and,1.7428748607635498,12.0,0,0,True,9,0,"[1, 2, 3, 1, 0, 3, 2, 0]"
4,16,2,GF(32),and,211.0660948753357,12.0,0,0,True,0,0,"[2, 1, 3, 2, 3, 0, 0, 1, 2, 1, 1, 3, 0, 2, 1, 2]"
4,16,2,GF(32),and,209.72831463813782,12.0,0,0,True,1,0,"[2, 0, 2, 2, 1, 1, 2, 3, 0, 3, 2, 1, 2, 0, 3, 3]"
4,16,2,GF(32),and,210.76443314552307,12.0,0,0,True,2,0,"[0, 1, 1, 1, 0, 3, 1, 0, 3, 1, 1, 1, 3, 2, 1, 0]"
4,16,2,GF(32),and,209.84091329574585,12.0,0,0,True,3,0,"[0, 3, 1, 3, 1, 3, 2, 3, 2, 0, 3, 2, 1, 2, 3, 3]"
4,16,2,GF(32),and,207.68822574615479,12.0,0,0,True,4,0,"[1, 3, 3, 3, 3, 1, 0, 1, 2, 2, 3, 0, 0, 1, 3, 3]"
4,16,2,GF(32),and,205.3079981803894,12.0,0,0,True,5,0,"[1, 2, 0, 1, 3, 2, 1, 2, 1, 0, 1, 3, 1, 3, 0, 1]"
4,16,2,GF(32),and,207.870924949646,12.0,0,0,True,6,0,"[0, 0, 3, 0, 2, 2, 3, 1, 3, 2, 1, 2, 3, 1, 2, 3]"
4,16,2,GF(32),and,206.6877465248108,12.0,0,0,True,7,0,"[3, 2, 0, 1, 2, 2, 0, 2, 3, 0, 1, 1, 1, 1, 1, 1]"
4,16,2,GF(32),and,208.82493591308594,12.0,0,0,True,8,0,"[1, 0, 0, 0, 3, 3, 2, 1, 3, 2, 1, 1, 1, 2, 3, 3]"
4,16,2,GF(32),and,206.40522384643555,12.0,0,0,True,9,0,"[1, 3, 2, 3, 3, 2, 3, 3, 3, 2, 0, 1, 2, 3, 3, 3]"
2,4,3,GF(32),xor,0.04724764823913574,27.0,0,0,True,0,0,"[2, 3, 7, 6]"
2,4,3,GF(32),xor,0.04042696952819824,27.0,6,6,True,1,0,"[6, 0, 2, 2]"
2,4,3,GF(32),xor,0.03121471405029297,27.0,2,2,True,2,0,"[0, 6, 3, 7]"
2,4,3,GF(32),xor,0.023260831832885742,27.0,5,5,True,3,0,"[0, 0, 0, 5]"
2,4,3,GF(32),xor,0.020047903060913086,27.0,7,7,True,4,0,"[1, 3, 2, 7]"
2,4,3,GF(32),xor,0.022536277770996094,27.0,3,3,True,5,0,"[1, 7, 2, 7]"
2,4,3,GF(32),xor,0.023891925811767578,27.0,5,5,True,6,0,"[6, 1, 5, 7]"
2,4,3,GF(32),xor,0.022923707962036133,27.0,6,6,True,7,0,"[1, 6, 6, 7]"
2,4,3,GF(32),xor,0.020268678665161133,27.0,2,2,True,8,0,"[3, 0, 4, 5]"
2,4,3,GF(32),xor,0.02082514762878418,27.0,7,7,True,9,0,"[4, 3, 1, 1]"
3,8,3,GF(32),xor,2.4514241218566895,27.0,2,2,True,0,0,"[1, 3, 5, 1, 3, 6, 4, 5]"
3,8,3,GF(32),xor,2.3879942893981934,27.0,4,4,True,1,0,"[6, 0, 4, 1, 7, 2, 4, 6]"
