test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,result,expected,correct,trial_tree,trial_run,leaf_values
baseline_plain,2,4,2,GF(32),xor,4.76837158203125e-06,,2,2,True,0,0,"[2, 1, 0, 1]"
logn_loglogn,2,4,2,GF(32),xor,0.1718738079071045,12,2,2,True,0,0,"[2, 1, 0, 1]"
baseline_plain,2,4,2,GF(32),xor,3.5762786865234375e-06,,0,0,True,1,0,"[3, 0, 1, 2]"
logn_loglogn,2,4,2,GF(32),xor,0.012722969055175781,12,0,0,True,1,0,"[3, 0, 1, 2]"
baseline_plain,2,4,2,GF(32),xor,3.5762786865234375e-06,,1,1,True,2,0,"[2, 3, 1, 1]"
logn_loglogn,2,4,2,GF(32),xor,0.01347208023071289,12,1,1,True,2,0,"[2, 3, 1, 1]"
baseline_plain,2,4,2,GF(32),xor,5.0067901611328125e-06,,2,2,True,3,0,"[1, 0, 0, 3]"
logn_loglogn,2,4,2,GF(32),xor,0.013445854187011719,12,2,2,True,3,0,"[1, 0, 0, 3]"
baseline_plain,2,4,2,GF(32),xor,2.86102294921875e-06,,0,0,True,4,0,"[3, 3, 3, 3]"
logn_loglogn,2,4,2,GF(32),xor,0.013760805130004883,12,0,0,True,4,0,"[3, 3, 3, 3]"
baseline_plain,2,4,2,GF(32),xor,2.86102294921875e-06,,1,1,True,5,0,"[2, 1, 3, 1]"
logn_loglogn,2,4,2,GF(32),xor,0.013406753540039062,12,1,1,True,5,0,"[2, 1, 3, 1]"
baseline_plain,2,4,2,GF(32),xor,3.5762786865234375e-06,,0,0,True,6,0,"[2, 3, 3, 2]"
logn_loglogn,2,4,2,GF(32),xor,0.016720294952392578,12,0,0,True,6,0,"[2, 3, 3, 2]"
baseline_plain,2,4,2,GF(32),xor,6.198883056640625e-06,,2,2,True,7,0,"[3, 3, 1, 3]"
logn_loglogn,2,4,2,GF(32),xor,0.015470743179321289,12,2,2,True,7,0,"[3, 3, 1, 3]"
baseline_plain,2,4,2,GF(32),xor,2.86102294921875e-06,,1,1,True,8,0,"[1, 0, 0, 0]"
logn_loglogn,2,4,2,GF(32),xor,0.013060569763183594,12,1,1,True,8,0,"[1, 0, 0, 0]"
baseline_plain,2,4,2,GF(32),xor,3.0994415283203125e-06,,0,0,True,9,0,"[0, 2, 3, 1]"
logn_loglogn,2,4,2,GF(32),xor,0.013731956481933594,12,0,0,True,9,0,"[0, 2, 3, 1]"
baseline_plain,3,8,2,GF(32),xor,3.814697265625e-06,,1,1,True,0,0,"[3, 2, 3, 0, 0, 3, 1, 1]"
logn_loglogn,3,8,2,GF(32),xor,1.5147144794464111,12,1,1,True,0,0,"[3, 2, 3, 0, 0, 3, 1, 1]"
baseline_plain,3,8,2,GF(32),xor,5.245208740234375e-06,,3,3,True,1,0,"[1, 0, 3, 2, 0, 3, 1, 1]"
logn_loglogn,3,8,2,GF(32),xor,1.541205644607544,12,3,3,True,1,0,"[1, 0, 3, 2, 0, 3, 1, 1]"
